cluster,quartile_clean,median_production_pct
Cluster 6,Q1,8.322289919476137
Cluster 6,Q2,10.818300119156664
Cluster 6,Q3,12.727294099246656
Cluster 6,Q4,17.970712021934958
Cluster 5,Q1,18.351052221981206
Cluster 5,Q2,19.82886763802864
Cluster 5,Q3,21.555560729241613
Cluster 5,Q4,25.421133869052337
Cluster 4,Q1,20.128931928038227
Cluster 4,Q2,25.7763118875934
Cluster 4,Q3,30.064735955772896
Cluster 4,Q4,26.929081699346256
Cluster 3,Q1,11.01092333321724
Cluster 3,Q2,11.499157337048796
Cluster 3,Q3,11.63905140916666
Cluster 3,Q4,11.1439518368703
Cluster 2,Q1,42.248790470317786
Cluster 2,Q2,31.09991023630006
Cluster 2,Q3,21.6398101623247
Cluster 2,Q4,17.842312932537016
Cluster 1,Q1,1.5088957126206304
Cluster 1,Q2,0.7566578191436615
Cluster 1,Q3,0.3667965790478157
Cluster 1,Q4,0.22830436378730873
