year,cluster,quartile_clean,cluster_proportion
2017,Cluster 1,Q1,0.01265215717566532
2017,Cluster 2,Q1,0.1798676596393847
2017,Cluster 3,Q1,0.10618271842956266
2017,Cluster 4,Q1,0.23277889514453828
2017,Cluster 5,Q1,0.3262712288119093
2017,Cluster 6,Q1,0.13981481893533415
2017,Cluster 1,Q2,0.00704089031800175
2017,Cluster 2,Q2,0.29786491767060297
2017,Cluster 3,Q2,0.11747909907493524
2017,Cluster 4,Q2,0.2922035673704682
2017,Cluster 5,Q2,0.17165737243323578
2017,Cluster 6,Q2,0.11147845823681198
2017,Cluster 1,Q3,0.0065597774667345
2017,Cluster 2,Q3,0.26148702267986135
2017,Cluster 3,Q3,0.1159527058712771
2017,Cluster 4,Q3,0.2776519663941154
2017,Cluster 5,Q3,0.21096562062459553
2017,Cluster 6,Q3,0.1249655867936266
2017,Cluster 1,Q4,0.00690459547066066
2017,Cluster 2,Q4,0.1889043598123407
2017,Cluster 3,Q4,0.1130166227515986
2017,Cluster 4,Q4,0.25826025057798074
2017,Cluster 5,Q4,0.2440462289932871
2017,Cluster 6,Q4,0.18604727935451376
2018,Cluster 1,Q1,0.02169309351050415
2018,Cluster 2,Q1,0.4452095930298903
2018,Cluster 3,Q1,0.10737442300006082
2018,Cluster 4,Q1,0.13569065429729277
2018,Cluster 5,Q1,0.19134632955606237
2018,Cluster 6,Q1,0.09737735574449254
2018,Cluster 1,Q2,0.01064936375917458
2018,Cluster 2,Q2,0.35414904942779474
2018,Cluster 3,Q2,0.12232127285228717
2018,Cluster 4,Q2,0.24940397166439188
2018,Cluster 5,Q2,0.15598020062490436
2018,Cluster 6,Q2,0.10488754414632132
2018,Cluster 1,Q3,0.00455719744024188
2018,Cluster 2,Q3,0.16923782307997903
2018,Cluster 3,Q3,0.10924510589713182
2018,Cluster 4,Q3,0.2965112188704676
2018,Cluster 5,Q3,0.25789151872185956
2018,Cluster 6,Q3,0.16013549106326097
2018,Cluster 1,Q4,0.0035921383004191903
2018,Cluster 2,Q4,0.1322309819211584
2018,Cluster 3,Q4,0.1098624139858074
2018,Cluster 4,Q4,0.23974494505085348
2018,Cluster 5,Q4,0.28036521724943836
2018,Cluster 6,Q4,0.2311936564020447
2019,Cluster 1,Q1,0.01019121470577608
2019,Cluster 2,Q1,0.4101439665616057
2019,Cluster 3,Q1,0.12125738492493128
2019,Cluster 4,Q1,0.22783945045160725
2019,Cluster 5,Q1,0.15957013478314377
2019,Cluster 6,Q1,0.06906844264503022
