year,mgmt_river,cluster,total_annual_production,closure_window_production,unit_protection_pct,offset_label
2017,Aniak,Cluster 6,39770.37460844513,2927.0137917893794,7.359784313341208,+6 days (June 17)
2017,Big River,Cluster 2,29831.647233415995,4909.768548393277,16.458254919606276,+6 days (June 17)
2017,E. Fork Kuskokwim,Cluster 1,1459.7391135128048,336.91785125577405,23.080689428468794,+6 days (June 17)
2017,George,Cluster 4,13134.333903231036,968.4729764276716,7.373597957559371,+6 days (June 17)
2017,Hoholitna,Cluster 4,40988.16942515347,4528.949323198631,11.049406174307753,+6 days (June 17)
2017,Holitna,Cluster 4,44908.45038801223,3975.079568448232,8.851517997399732,+6 days (June 17)
2017,Holokuk,Cluster 5,5080.039104499825,453.3377573282603,8.923902907099677,+6 days (June 17)
2017,Kisaralik,Cluster 5,28790.89255933052,2755.184619803231,9.569639475836027,+6 days (June 17)
2017,Kwethluk,Cluster 6,21925.832216093877,1403.764733616909,6.40233273602507,+6 days (June 17)
2017,Middle Kusko Main,Cluster 5,31402.62556713455,3172.2299179448314,10.101798370849707,+6 days (June 17)
2017,N. Fork Kusko,Cluster 1,1687.0259450724018,352.52042520327046,20.8959693970884,+6 days (June 17)
2017,Oskakawlik,Cluster 5,6304.010776114962,567.0510556500108,8.995083856748627,+6 days (June 17)
2017,S. Fork Kusko,Cluster 2,6710.899675557058,917.9948018599508,13.67916145734588,+6 days (June 17)
2017,Stony,Cluster 3,51479.3854147365,5971.681573087545,11.600141542051297,+6 days (June 17)
2017,Swift,Cluster 2,31065.383302919785,4599.822665827898,14.80690780788006,+6 days (June 17)
2017,Takotna and Nixon Fork,Cluster 4,23668.90299423175,2368.2280380645702,10.005651882732888,+6 days (June 17)
2017,Tatlawiksuk,Cluster 2,12861.89160822922,1981.6039883065496,15.406785010057863,+6 days (June 17)
2017,Tuluksak,Cluster 5,24155.561574864165,2392.6434169020836,9.905145071815777,+6 days (June 17)
2017,Upper Kusko Main,Cluster 2,30657.560085779925,3848.9967402619313,12.554804522905377,+6 days (June 17)
2018,Aniak,Cluster 6,37298.362562466566,6226.089582931472,16.692661970090885,+6 days (June 17)
2018,Big River,Cluster 2,28631.954634975475,14012.122319802127,48.93875566108073,+6 days (June 17)
2018,E. Fork Kuskokwim,Cluster 1,1223.6707131823969,594.9966475434718,48.623918275862444,+6 days (June 17)
2018,George,Cluster 4,12101.210568777902,865.9382532647412,7.15579857356529,+6 days (June 17)
2018,Hoholitna,Cluster 4,35768.6274961582,7326.734806906905,20.48369009320765,+6 days (June 17)
2018,Holitna,Cluster 4,39032.404380985005,5132.060007620218,13.14820362467947,+6 days (June 17)
2018,Holokuk,Cluster 5,5505.225038006478,709.5276538141845,12.888258861641647,+6 days (June 17)
2018,Kisaralik,Cluster 5,29732.644568583877,4978.541013940671,16.744359898618303,+6 days (June 17)
2018,Kwethluk,Cluster 6,26498.699488045862,3904.1163064379734,14.73323741113863,+6 days (June 17)
2018,Middle Kusko Main,Cluster 5,33011.0004595517,6124.921036765785,18.554181792431997,+6 days (June 17)
2018,N. Fork Kusko,Cluster 1,1966.857913388625,1078.922160238138,54.85511448965339,+6 days (June 17)
2018,Oskakawlik,Cluster 5,5731.199352056071,804.0622026676946,14.029562632108354,+6 days (June 17)
2018,S. Fork Kusko,Cluster 2,5802.59815200685,2331.8243391686274,40.185866366812895,+6 days (June 17)
2018,Stony,Cluster 3,47254.36877644959,12303.5628608839,26.03687908538034,+6 days (June 17)
2018,Swift,Cluster 2,27377.517241431153,12455.776381388889,45.496369417089504,+6 days (June 17)
2018,Takotna and Nixon Fork,Cluster 4,21880.930124608465,4646.985906885838,21.23760681297359,+6 days (June 17)
2018,Tatlawiksuk,Cluster 2,11096.95633868616,5520.755259767756,49.75017555508733,+6 days (June 17)
2018,Tuluksak,Cluster 5,22048.59396408612,3247.814597166333,14.73025718763083,+6 days (June 17)
2018,Upper Kusko Main,Cluster 2,26677.016747808608,9303.129859942124,34.873201707257365,+6 days (June 17)
2019,Aniak,Cluster 6,34613.90083184409,5899.489944741419,17.043701527318202,+6 days (June 17)
2019,Big River,Cluster 2,30962.13516316344,17938.35264003476,57.93641990613278,+6 days (June 17)
2019,E. Fork Kuskokwim,Cluster 1,876.6654851578882,643.9758219000003,73.45741708811767,+6 days (June 17)
2019,George,Cluster 4,15856.853520454202,3462.2093450189277,21.834151022161656,+6 days (June 17)
2019,Hoholitna,Cluster 4,48681.33437064826,14920.120855093524,30.648545377772972,+6 days (June 17)
2019,Holitna,Cluster 4,49506.50042842644,11516.33966998398,23.262277822755053,+6 days (June 17)
2019,Holokuk,Cluster 5,5546.392119738513,1063.490465247938,19.174455074375025,+6 days (June 17)
2019,Kisaralik,Cluster 5,26356.244708210754,6437.501900777096,24.42495876042471,+6 days (June 17)
2019,Kwethluk,Cluster 6,18591.89506029507,3923.8320131841633,21.105067560132238,+6 days (June 17)
2019,Middle Kusko Main,Cluster 5,32707.32032857252,8974.916205457012,27.44008410134623,+6 days (June 17)
2019,N. Fork Kusko,Cluster 1,1385.8079117091606,909.4331639366492,65.62476345044217,+6 days (June 17)
2019,Oskakawlik,Cluster 5,6514.924624906842,1355.5882531230177,20.80742803900669,+6 days (June 17)
2019,S. Fork Kusko,Cluster 2,6532.464916778977,3091.148255798133,47.31978349946216,+6 days (June 17)
2019,Stony,Cluster 3,53151.39148043584,17657.722072885394,33.221561244327745,+6 days (June 17)
2019,Swift,Cluster 2,30236.856101014146,15998.4945751205,52.910575496583824,+6 days (June 17)
