year,cluster,doy_at_50
2017,Cluster 1,179
2018,Cluster 1,167
2019,Cluster 1,167
2020,Cluster 1,171
2021,Cluster 1,162
2022,Cluster 1,173
2017,Cluster 2,176
2018,Cluster 2,170
2019,Cluster 2,167
2020,Cluster 2,177
2021,Cluster 2,171
2022,Cluster 2,176
2017,Cluster 3,179
2018,Cluster 3,176
2019,Cluster 3,173
2020,Cluster 3,180
2021,Cluster 3,177
2022,Cluster 3,176
2017,Cluster 4,179
2018,Cluster 4,176
2019,Cluster 4,173
2020,Cluster 4,180
2021,Cluster 4,180
2022,Cluster 4,176
2017,Cluster 5,179
2018,Cluster 5,179
2019,Cluster 5,173
2020,Cluster 5,180
2021,Cluster 5,180
2022,Cluster 5,179
2017,Cluster 6,179
2018,Cluster 6,179
2019,Cluster 6,173
2020,Cluster 6,180
2021,Cluster 6,180
2022,Cluster 6,179
