year,cluster,closure_protection_pct,n_units,cluster_total_production,cluster_closure_production,offset_label
2017,Cluster 1,7.829135848879942,2,3146.7650585852016,246.36451128172195,+3 days
2017,Cluster 2,4.416880875607898,5,111127.38190590193,4908.364078965534,+3 days
2017,Cluster 3,5.3521408072464265,1,51479.38541473646,2755.249194101775,+3 days
2017,Cluster 4,4.569181483962437,4,122699.8567106286,5606.3791336704835,+3 days
2017,Cluster 5,6.7637629568768,5,95733.129581944,6475.161956122393,+3 days
2017,Cluster 6,4.359960923753469,2,61696.20682453911,2689.9305089880268,+3 days
2018,Cluster 1,31.88376005482639,2,3190.5286265710233,1017.2604917764529,+3 days
2018,Cluster 2,25.922911952423245,5,99586.04311490823,25815.602273579912,+3 days
2018,Cluster 3,13.271171362936796,1,47254.3687764496,6271.208256796726,+3 days
2018,Cluster 4,6.745381075127764,4,108783.17257052967,7337.839535496085,+3 days
2018,Cluster 5,10.45492325140335,5,96028.66338228421,10039.723055966288,+3 days
2018,Cluster 6,9.139337401511554,2,63797.06205051251,5830.628753048023,+3 days
2019,Cluster 1,47.12268113589143,2,2262.47339686705,1066.1381245900313,+3 days
2019,Cluster 2,39.074918537499485,5,111907.6522904602,43727.823969725505,+3 days
2019,Cluster 3,26.01964657078281,1,53151.39148043581,13829.804210662562,+3 days
2019,Cluster 4,20.51856683166834,4,140135.68563663415,28753.834312369432,+3 days
2019,Cluster 5,20.232856748437452,5,96160.90934271505,19456.099035306343,+3 days
2019,Cluster 6,15.707650121158814,2,53205.79589213908,8357.380262915096,+3 days
2020,Cluster 1,40.67607318020111,2,2908.339071656367,1182.9981291153256,+3 days
2020,Cluster 2,21.169459314750437,5,137455.10838695487,29098.50324602253,+3 days
2020,Cluster 3,11.481103418321585,1,55609.05073116319,6384.532624391761,+3 days
2020,Cluster 4,7.380397020073868,4,134967.69354936507,9961.15163277977,+3 days
2020,Cluster 5,12.702550613732857,5,92301.56813075558,11724.653409078344,+3 days
2020,Cluster 6,15.312596375097062,2,49360.14936329551,7558.320442146483,+3 days
2021,Cluster 1,54.997450138654216,2,3300.24191070316,1815.0488992939395,+3 days
2021,Cluster 2,34.460263776610184,5,115511.60536182937,39805.60390028339,+3 days
2021,Cluster 3,18.632333909467043,1,51534.665143589875,9602.11088867939,+3 days
2021,Cluster 4,13.175590107400282,4,129669.06930779091,17084.665068075312,+3 days
2021,Cluster 5,8.414170497473078,5,90403.45983865332,7606.70124643889,+3 days
2021,Cluster 6,7.485514047412331,2,53829.34303536333,4029.4030345418932,+3 days
2022,Cluster 1,21.38655162447878,2,1992.0609236272762,426.03313782261625,+3 days
2022,Cluster 2,16.47470889175333,5,123157.85987756812,20289.898892142824,+3 days
2022,Cluster 3,10.92196733033399,1,50794.986042324985,5547.811780990445,+3 days
2022,Cluster 4,9.153514736216248,4,125121.7600429754,11453.038743746887,+3 days
2022,Cluster 5,9.429954534415241,5,100531.03471222073,9480.030866339619,+3 days
2022,Cluster 6,7.466678038292414,2,56662.99055023749,4230.843071254289,+3 days
