"year","mgmt_river","run_start_doy","doy_above_50_percent","days_to_above_50_percent","actual_percent_at_doy","total_production","final_overall_percent"
2017,"N. Fork Kusko",158,176,18,52.5119707079113,1687.0259450724,0.726035283223981
2017,"S. Fork Kusko",158,176,18,54.6145044050037,6710.89967555706,1.89066098959292
2017,"Upper Kusko Main",158,176,18,53.8103317855034,30657.56008578,7.92722134279986
2017,"Big River",158,176,18,61.6741163954191,29831.647233416,10.1119394614977
2017,"Takotna and Nixon Fork",158,179,21,63.1094026254492,23668.9029942317,5.41947346797896
2017,"Tatlawiksuk",158,176,18,58.5507949385622,12861.8916082292,4.14106027130313
2017,"Swift",158,176,18,57.5384715500958,31065.3833029197,9.47358879996458
2017,"Stony",158,179,21,62.7791325142343,51479.3854147365,12.2990079787292
2017,"Holitna",158,179,21,59.5279249931034,44908.4503880123,10.2287498968416
2017,"Hoholitna",158,179,21,65.7533042830602,40988.1694251535,10.2169617886708
2017,"Middle Kusko Main",158,179,21,58.1190417728976,31402.6255671345,15.3345277835179
2017,"George",158,179,21,60.348100046243,13134.333903231,2.98473628392512
2017,"Oskakawlik",158,179,21,58.1333788786326,6304.01077611497,3.43448830507637
2017,"Holokuk",158,179,21,53.4572041240497,5080.03910449982,4.74491532631592
2017,"Aniak",158,179,21,52.0826579202184,39770.3746084452,24.9970692417389
2017,"Tuluksak",158,179,21,56.8593565719621,24155.5615748642,15.7249031413072
2017,"Kisaralik",158,179,21,55.973378692602,28790.8925593305,12.1514602678982
2017,"Kwethluk",158,182,24,63.0295711709389,21925.8322160939,7.70370516895051
2017,"Johnson",158,200,42,-Inf,0,0
2017,"Lower Kusko",158,179,21,58.6096971480154,1111.25075975671,0.426599535205658
2017,"E. Fork Kuskokwim",158,179,21,54.0500769853677,1459.7391135128,0.693900920545672
2018,"N. Fork Kusko",152,167,15,54.8551144896533,1966.85791338863,1.13979844455308
2018,"S. Fork Kusko",152,173,21,53.864680149222,5802.59815200685,2.7159582149997
2018,"Upper Kusko Main",152,176,24,68.6194799825144,26677.0167478085,11.6444634254917
2018,"Big River",152,170,18,55.9244689120138,28631.9546349755,17.3428907835052
2018,"Takotna and Nixon Fork",152,176,24,57.0495766263845,21880.9301246085,5.45386832599859
2018,"Tatlawiksuk",152,170,18,56.10714948659,11096.9563386862,7.26182580821862
2018,"Swift",152,170,18,52.0106671230588,27377.5172414312,15.2188922651406
2018,"Stony",152,176,24,57.8611574798527,47254.3687764496,12.1814544624835
2018,"Holitna",152,176,24,52.5655637751579,39032.4043809851,16.5730755709258
2018,"Hoholitna",152,176,24,60.0194172242176,35768.6274961582,14.3964570647535
2018,"Middle Kusko Main",152,179,27,67.1609870401415,33011.0004595516,12.1859101298722
2018,"George",152,176,24,51.3953221793744,12101.2105687779,6.10975922106821
2018,"Oskakawlik",152,179,27,64.2662534315602,5731.19935205607,3.28788635390119
2018,"Holokuk",152,179,27,63.5486443971614,5505.22503800648,3.61801774110579
2018,"Aniak",152,179,27,61.0982207734604,37298.3625624666,29.8578829433363
2018,"Tuluksak",152,179,27,63.3406469222278,22048.5939640862,12.4851706231209
2018,"Kisaralik",152,176,24,51.2638339980402,29732.6445685838,9.87125973344753
2018,"Kwethluk",152,179,27,58.5055776354465,26498.6994880459,9.06087952461197
2018,"Johnson",152,198,46,-Inf,0,0
2018,"Lower Kusko",152,176,24,50.5346310786835,1035.40998726809,0.462513137742895
2018,"E. Fork Kuskokwim",152,170,18,57.5433182684955,1223.6707131824,1.43247160225319
2019,"N. Fork Kusko",152,167,15,65.6247634504422,1385.80791170916,0.614897628057202
2019,"S. Fork Kusko",152,170,18,58.9824262908312,6532.46491677897,2.51309457380109
2019,"Upper Kusko Main",152,170,18,53.2173515407178,32134.8902176906,10.1831228966526
2019,"Big River",152,167,15,57.9364199061329,30962.1351631634,16.3549722958551
