"year","doy","interval_number","mgmt_river","cumulative_production","cumulative_percent_of_unit","overall_percent","fish_count_cumulative"
2017,158,1,"N. Fork Kusko",0,0,0,1
2017,161,2,"N. Fork Kusko",48.8833548590926,2.89760539853432,0.540039091229978,4
2017,164,3,"N. Fork Kusko",100.822911104012,5.97636991882098,0.4431538208454,12
2017,167,4,"N. Fork Kusko",352.52042520327,20.8959693970884,0.726035283223981,26
2017,170,5,"N. Fork Kusko",396.129791010322,23.4809542892549,0.452228776767647,48
2017,173,6,"N. Fork Kusko",613.555345145492,36.3690521143207,0.445464572790161,73
2017,176,7,"N. Fork Kusko",885.890570111283,52.5119707079113,0.42537600109257,113
2017,179,8,"N. Fork Kusko",1101.95212212882,65.3192160646662,0.396399261525358,151
2017,182,9,"N. Fork Kusko",1316.60701987113,78.0430807076075,0.403707115571839,181
2017,185,10,"N. Fork Kusko",1458.54242884972,86.4564313969176,0.409755956545979,198
2017,188,11,"N. Fork Kusko",1495.11299757315,88.6241851786685,0.392850566773342,213
2017,191,12,"N. Fork Kusko",1538.00702095691,91.166767496922,0.385931210624047,224
2017,194,13,"N. Fork Kusko",1584.18497737532,93.9040079379061,0.377840122622503,240
2017,197,14,"N. Fork Kusko",1637.70252142676,97.0763091231814,0.3768538832219,249
2017,200,15,"N. Fork Kusko",1687.0259450724,100,0.377415811998744,256
2017,158,1,"S. Fork Kusko",0,0,0,1
2017,161,2,"S. Fork Kusko",148.959337219053,2.21966270426607,1.64562897399081,4
2017,164,3,"S. Fork Kusko",335.522059718318,4.99965840556939,1.47474300348955,12
2017,167,4,"S. Fork Kusko",917.994801859951,13.6791614573459,1.89066098959292,26
2017,170,5,"S. Fork Kusko",1326.34101206695,19.763982121471,1.51417436172624,48
2017,173,6,"S. Fork Kusko",2282.60147318622,34.013345207649,1.65725569526572,73
2017,176,7,"S. Fork Kusko",3665.12459892249,54.6145044050037,1.7598742982441,113
2017,179,8,"S. Fork Kusko",4697.3647947343,69.9960515256008,1.68975756600995,151
2017,182,9,"S. Fork Kusko",5230.55551062053,77.941196612902,1.603828968068,181
2017,185,10,"S. Fork Kusko",5759.44769457225,85.8222887096605,1.61803177788059,198
2017,188,11,"S. Fork Kusko",6095.39663328026,90.8283080952821,1.60160471213837,213
2017,191,12,"S. Fork Kusko",6283.1486290963,93.6260253149254,1.57662684494722,224
2017,194,13,"S. Fork Kusko",6366.74693681263,94.8717347094618,1.51851739390771,240
2017,197,14,"S. Fork Kusko",6604.47673692455,98.4141777738068,1.51976483665079,249
2017,200,15,"S. Fork Kusko",6710.89967555706,100,1.50134006989666,256
2017,158,1,"Upper Kusko Main",0,0,0,1
2017,161,2,"Upper Kusko Main",700.601872654894,2.28524993735512,7.7399024619562,4
2017,164,3,"Upper Kusko Main",1314.99318816447,4.28929498787613,5.77987928874203,12
2017,167,4,"Upper Kusko Main",3848.99674026192,12.5548045229053,7.92722134279986,26
2017,170,5,"Upper Kusko Main",6185.11287436517,20.1748373225371,7.06103426912193,48
2017,173,6,"Upper Kusko Main",10466.73493874,34.1407956453613,7.59924861690844,73
2017,176,7,"Upper Kusko Main",16496.9347994983,53.8103317855034,7.92129456171311,113
2017,179,8,"Upper Kusko Main",21356.6939614581,69.6620797666286,7.68252771144936,151
2017,182,9,"Upper Kusko Main",24076.0726869724,78.5322531199727,7.38237128623765,181
2017,185,10,"Upper Kusko Main",26255.6637840328,85.6417265776184,7.37614101295674,198
2017,188,11,"Upper Kusko Main",27773.1619219028,90.5915599421266,7.29757711946687,213
2017,191,12,"Upper Kusko Main",28722.8645109856,93.6893361070447,7.20741174927688,224
2017,194,13,"Upper Kusko Main",29222.6274044032,95.3194817938485,6.96981809543791,240
2017,197,14,"Upper Kusko Main",30090.438207578,98.1501402048464,6.92415034965893,249
2017,200,15,"Upper Kusko Main",30657.56008578,100,6.85860698673389,256
2017,158,1,"Big River",0,0,0,1
2017,161,2,"Big River",690.756980177766,2.31551739256294,7.63114096631151,4
2017,164,3,"Big River",1188.21097027586,3.98305517955067,5.22262475544818,12
2017,167,4,"Big River",4909.76854839327,16.4582549196063,10.1119394614977,26
2017,170,5,"Big River",6414.95822310163,21.503868602723,7.32342978509592,48
2017,173,6,"Big River",10644.5617774316,35.6821120005337,7.72835768156763,73
2017,176,7,"Big River",18398.4048374078,61.6741163954191,8.83431897828602,113
2017,179,8,"Big River",22817.4466983844,76.4873844204801,8.20799637252884,151
2017,182,9,"Big River",24805.4638189809,83.1515055970328,7.60602222048198,181
2017,185,10,"Big River",27137.7711806652,90.9697375016783,7.62395605963211,198
2017,188,11,"Big River",28457.505962186,95.3936795361044,7.47739292237246,213
2017,191,12,"Big River",29162.2549388401,97.7561001263582,7.31766773474891,224
2017,194,13,"Big River",29258.6507549157,98.0792328562454,6.97840993753293,240
