"Management_Unit","Trend.1","Trend.2","Trend.3","Trend.4"
"Holitna and Hoholitna",1.41414708627136,0,0,0
"Stony",1.38158628532787,0.350500981603954,0,0
"Big River",0.567659271089353,1.21670532979268,0.389569978737311,0
"Kwethluk",0.747241387271955,1.14324764417008,0.342539172188882,-0.0230994664876999
"Upper Kusko Main",1.15651630316627,0.775208684413661,0.248267063111921,-0.0369303043279644
"Middle Kusko Main",1.36471261943711,0.211820857979525,-0.303701447418057,0.0380981068915637
"Aniak",1.28165852247426,-0.0613807465957504,-0.481289585323676,-0.0752126383600815
"Kisaralik",1.32474707818477,0.0816088161908433,-0.411023390077224,0.0334320369052776
"Tuluksak",1.37586266442441,-0.114129808814777,-0.27803848134169,0.0231156818370951
"Takotna and Nixon Fork",1.39029699012655,0.24550947275797,0.0587335498402673,-0.0258858555458684
"Tatlawiksuk",0.542152042930512,1.23462565147491,0.35642664426178,-0.0367460059732496
"Swift",1.25335725734515,0.0595619658511807,-0.519107422143756,-0.0551229102905019
"George",1.39925781510106,-0.108720565506607,-0.0323316186920169,-0.046691576393475
"S. Fork Kusko",0.967972878875564,0.990313311380143,0.286856781106208,-0.0327715710534412
"Oskakawlik",1.38199605238116,-0.0786018978233059,-0.265352495707817,0.0269648054887463
"Holokuk",1.28379262418622,-0.0405209927263021,-0.457805039993661,0.0301404287804169
"N. Fork Kusko",-0.0366252281507851,1.21656808640156,0.178744621344822,-0.477595078826749
"E. Fork Kuskokwim",-0.157184452612603,1.11552589965844,-0.0563620331880676,-0.670758548996119
"Lower Kusko",1.38001315447815,0.208053194997804,-0.153049907175594,-0.00642702473515278
