"Management_Unit","Trend.1","Trend.2","Trend.3","Trend.4"
"Aniak",-1.36423751453154,0,0,0
"Big River",-0.487606929353948,1.32045507029251,0,0
"E. Fork Kuskokwim",-0.489710420651206,1.21592893751135,0.574318209009295,0
"George",-0.877564150645717,0.0670047913206133,-0.448768409423358,0.70467801411122
"Holitna and Hoholitna",-0.979738260771522,0.310919184724825,-0.460118345104065,0.608173244889465
"Holokuk",-1.34546055196245,0.0322928542264535,-0.149892069823992,-0.06337420158104
"Kisaralik",-1.37203562182664,0.139060151484285,-0.138094239755856,-0.0806538666232449
"Kwethluk",-0.592006571597082,1.3103983358672,0.00231837810140321,0.0496011557968456
"Lower Kusko",-1.23713214931237,0.379124406165601,-0.324668600176988,0.268683690271843
"Middle Kusko Main",-1.3694106586944,0.393755482593578,-0.22870989644724,0.00752208810153982
"N. Fork Kusko",-0.420085843594899,1.26552958563722,0.452611136178926,-0.00830342340143106
"Oskakawlik",-1.3015435930481,0.0808185449181331,-0.224799815694364,0.213501251879036
"S. Fork Kusko",-0.69398559149052,1.26793945306818,-0.06235013401483,0.136809091090509
"Stony",-1.13319719597439,0.76117827071768,-0.301307838358759,0.333301814363788
"Swift",-1.29664101736185,-0.0557511982926726,-0.173724447591946,-0.00690755716032421
"Takotna and Nixon Fork",-0.945739009530543,0.564463022985387,-0.473187170292352,0.550923678687988
"Tatlawiksuk",-0.544898017795623,1.31990447183037,0.0784680015167342,-0.0199857029286479
"Tuluksak",-1.30457361557474,0.082779223305438,-0.208104960812388,0.212356362677292
"Upper Kusko Main",-0.777939076412091,1.20076153077096,-0.12218805298524,0.244885425807964
