"Name","huc_proportion_within_quartile","contribution_to_total_year","year","quartile","quartile_cpue_proportion"
"Holitna River",0.165687484351541,0.00671646944449726,2017,1,0.0405369752023444
"Takotna River",0.0168394780932567,0.000682621505886768,2017,1,0.0405369752023444
"Stony River",0.535009189186566,0.0216876542350822,2017,1,0.0405369752023444
"North Fork Kuskokwim River",0.00741003184887696,0.000300380277306508,2017,1,0.0405369752023444
"Middle Fork Kuskokwim River",0,0,2017,1,0.0405369752023444
"Kuskokwim Delta",0.118009459368006,0.00478374652804295,2017,1,0.0405369752023444
"South Fork Kuskokwim River",0,0,2017,1,0.0405369752023444
"Aniak",0.157044357151753,0.00636610321152872,2017,1,0.0405369752023444
"Holitna River",0.235597957088077,0.145923917862799,2017,2,0.619376838688995
"Takotna River",0.00878055312133089,0.00543847123423071,2017,2,0.619376838688995
"Stony River",0.421816036584836,0.261263083248237,2017,2,0.619376838688995
"North Fork Kuskokwim River",0,0,2017,2,0.619376838688995
"Middle Fork Kuskokwim River",0,0,2017,2,0.619376838688995
"Kuskokwim Delta",0.187577654988571,0.116181254955516,2017,2,0.619376838688995
"South Fork Kuskokwim River",6.07471088735705e-05,3.76253522536083e-05,2017,2,0.619376838688995
"Aniak",0.146167051108312,0.090532486035959,2017,2,0.619376838688995
"Holitna River",0.261403536142882,0.0692299299931704,2017,3,0.264839301773369
"Takotna River",0.0153013609248489,0.00405240174351929,2017,3,0.264839301773369
"Stony River",0.322759557641624,0.0854794158864891,2017,3,0.264839301773369
"North Fork Kuskokwim River",0.00321023872195923,0.000850197381649513,2017,3,0.264839301773369
"Middle Fork Kuskokwim River",0,0,2017,3,0.264839301773369
"Kuskokwim Delta",0.221178666916075,0.0585768037132179,2017,3,0.264839301773369
"South Fork Kuskokwim River",0,0,2017,3,0.264839301773369
"Aniak",0.17614663965261,0.0466505530553225,2017,3,0.264839301773369
"Holitna River",0.205168085775712,0.0139877939061539,2017,4,0.0681772403991001
"Takotna River",0.0321439600654839,0.00219148649276357,2017,4,0.0681772403991001
"Stony River",0.161331936798028,0.0109991662391316,2017,4,0.0681772403991001
