mgmt_river,quartile_clean,avg_within_quartile_prop,n_years,production_proportion
Aniak,Q1,0.06616682911148636,5,0.06616682911148636
Aniak,Q2,0.06749508721565196,5,0.06749508721565196
Aniak,Q3,0.08033299828804052,5,0.08033299828804052
Aniak,Q4,0.13563225572595866,5,0.13563225572595866
Big River,Q1,0.11548954593288588,5,0.11548954593288588
Big River,Q2,0.0895244167811392,5,0.0895244167811392
Big River,Q3,0.06126201934062514,5,0.06126201934062514
Big River,Q4,0.03514133349485884,5,0.03514133349485884
E. Fork Kuskokwim River,Q1,0.006762144240459628,5,0.006762144240459628
E. Fork Kuskokwim River,Q2,0.0028726251751101,5,0.0028726251751101
E. Fork Kuskokwim River,Q3,0.001523514314409536,5,0.001523514314409536
E. Fork Kuskokwim River,Q4,0.001216740792934178,5,0.001216740792934178
George,Q1,0.015816091925510797,5,0.015816091925510797
George,Q2,0.0267165643383468,5,0.0267165643383468
George,Q3,0.03459382979882072,5,0.03459382979882072
George,Q4,0.0284249093104108,5,0.0284249093104108
Hoholitna,Q1,0.07412030666253884,5,0.07412030666253884
Hoholitna,Q2,0.09118664027476904,5,0.09118664027476904
Hoholitna,Q3,0.1028658425568473,5,0.1028658425568473
Hoholitna,Q4,0.07490688879039487,5,0.07490688879039487
Holitna,Q1,0.06668798798056433,5,0.06668798798056433
Holitna,Q2,0.08799204096109463,5,0.08799204096109463
Holitna,Q3,0.10903470937477436,5,0.10903470937477436
Holitna,Q4,0.10013763126612818,5,0.10013763126612818
Holokuk,Q1,0.010831523240525524,5,0.010831523240525524
Holokuk,Q2,0.010737841629392899,5,0.010737841629392899
Holokuk,Q3,0.012839685890534084,5,0.012839685890534084
Holokuk,Q4,0.011695866970521027,5,0.011695866970521027
Kisaralik,Q1,0.05739852519479866,5,0.05739852519479866
Kisaralik,Q2,0.05846181615899392,5,0.05846181615899392
Kisaralik,Q3,0.0635466007956539,5,0.0635466007956539
Kisaralik,Q4,0.08236872087285425,5,0.08236872087285425
Kwethluk,Q1,0.02770250574215242,5,0.02770250574215242
Kwethluk,Q2,0.04273305600443648,5,0.04273305600443648
Kwethluk,Q3,0.047348670393890444,5,0.047348670393890444
Kwethluk,Q4,0.1225061874284656,5,0.1225061874284656
Lower Kusko,Q1,0.001971071270662234,5,0.001971071270662234
Lower Kusko,Q2,0.002304252508789572,5,0.002304252508789572
Lower Kusko,Q3,0.0023985335300079277,5,0.0023985335300079277
Lower Kusko,Q4,0.002333429376119182,5,0.002333429376119182
Middle Kusko Main,Q1,0.06820904349809882,5,0.06820904349809882
Middle Kusko Main,Q2,0.0703881879740819,5,0.0703881879740819
Middle Kusko Main,Q3,0.07579281186378606,5,0.07579281186378606
Middle Kusko Main,Q4,0.0711514441909609,5,0.0711514441909609
N. Fork Kusko,Q1,0.008074899511924681,5,0.008074899511924681
N. Fork Kusko,Q2,0.004878684248646962,5,0.004878684248646962
N. Fork Kusko,Q3,0.002791429434699694,5,0.002791429434699694
N. Fork Kusko,Q4,0.001535385013216518,5,0.001535385013216518
Oskakawlik,Q1,0.011624432528730097,5,0.011624432528730097
Oskakawlik,Q2,0.011985952802895609,5,0.011985952802895609
Oskakawlik,Q3,0.01509008787614218,5,0.01509008787614218
Oskakawlik,Q4,0.014174405241277594,5,0.014174405241277594
S. Fork Kusko,Q1,0.0214917797404994,5,0.0214917797404994
S. Fork Kusko,Q2,0.01756934484846768,5,0.01756934484846768
S. Fork Kusko,Q3,0.01333976404292832,5,0.01333976404292832
S. Fork Kusko,Q4,0.00910565332253135,5,0.00910565332253135
Stony,Q1,0.1078994678271581,5,0.1078994678271581
Stony,Q2,0.1153049997124392,5,0.1153049997124392
Stony,Q3,0.1138796559891858,5,0.1138796559891858
Stony,Q4,0.11200010843657318,5,0.11200010843657318
Swift,Q1,0.1114673532565495,5,0.1114673532565495
Swift,Q2,0.08545741596152874,5,0.08545741596152874
Swift,Q3,0.06113947793248018,5,0.06113947793248018
Swift,Q4,0.0381957636306903,5,0.0381957636306903
Takotna and Nixon Fork,Q1,0.0398933582267046,5,0.0398933582267046
Takotna and Nixon Fork,Q2,0.05522625356919058,5,0.05522625356919058
Takotna and Nixon Fork,Q3,0.0544736849269915,5,0.0544736849269915
Takotna and Nixon Fork,Q4,0.044771266939473,5,0.044771266939473
Tatlawiksuk,Q1,0.05046319573429964,5,0.05046319573429964
Tatlawiksuk,Q2,0.03558066853076716,5,0.03558066853076716
Tatlawiksuk,Q3,0.02406377373532996,5,0.02406377373532996
Tatlawiksuk,Q4,0.01457367697772166,5,0.01457367697772166
Tuluksak,Q1,0.0470056444368117,5,0.0470056444368117
Tuluksak,Q2,0.046023156378565,5,0.046023156378565
Tuluksak,Q3,0.05766013109648246,5,0.05766013109648246
Tuluksak,Q4,0.05489457526803382,5,0.05489457526803382
Upper Kusko Main,Q1,0.09092429393763836,5,0.09092429393763836
Upper Kusko Main,Q2,0.0775609949256928,5,0.0775609949256928
Upper Kusko Main,Q3,0.06602277881837018,5,0.06602277881837018
Upper Kusko Main,Q4,0.04523375695087604,5,0.04523375695087604
