mgmt_river,quartile_clean,mean_quartile_production,median_quartile_production,sd_quartile_production,min_quartile_production,max_quartile_production,cv_quartile_production,n_years
Lower Kusko,Q1,0.1971071270662234,0.209671734406439,0.053412306059685985,0.10839026562746001,0.25294073665786904,0.27098109974349477,5
Lower Kusko,Q2,0.23042525087895718,0.238856051585842,0.021440966101232035,0.194717152608776,0.250155368298165,0.09304955086061734,5
Lower Kusko,Q3,0.23985335300079277,0.240232414349678,0.01156416064198931,0.22323285593977799,0.254146707201456,0.04821346250661373,5
Lower Kusko,Q4,0.2333429376119182,0.272032035954246,0.06623705875549449,0.125317440030716,0.282721955139974,0.28386142487695915,5
Kwethluk,Q1,2.7702505742152423,2.9935473205526,1.1298198275020377,1.10482026186843,4.0828132448914705,0.4078403008082016,5
Kwethluk,Q2,4.273305600443648,4.1784732158812,0.4590812307575372,3.7757588563679096,4.8994316550425,0.1074300023639489,5
Kwethluk,Q3,4.734867039389044,4.40052320745869,1.102255833756565,3.85012563290736,6.507680429706821,0.23279551982916774,5
Kwethluk,Q4,12.25061874284656,6.706733198087381,13.378966929458029,4.31007955750749,35.9457870748156,1.0921054038409561,5
Kisaralik,Q1,5.739852519479866,4.62665988507226,2.4889751321282882,4.54765092578665,10.1891839825362,0.43363050247044227,5
Kisaralik,Q2,5.846181615899392,5.98398185502018,0.45825730984537477,5.09578922206461,6.22636594516187,0.07838574645014262,5
Kisaralik,Q3,6.35466007956539,6.16785351442897,0.8521523287822241,5.3107626436544,7.6151827699923,0.13409880593337808,5
Kisaralik,Q4,8.236872087285427,8.21985591429296,2.822503218828623,4.156897215828461,12.0557075400081,0.34266687510972593,5
Tuluksak,Q1,4.70056444368117,3.24712690793885,3.009276838938574,2.41175654548379,9.8247555656341,0.640194784050638,5
Tuluksak,Q2,4.6023156378565,4.84470394618276,0.7664958431491232,3.3095976690093503,5.30737523288839,0.16654569209558037,5
Tuluksak,Q3,5.766013109648245,5.8207836981649494,0.7838132024141471,4.76680938273714,6.6856627689386,0.1359367707823272,5
Tuluksak,Q4,5.489457526803382,6.11539646004298,1.3238902878058085,3.61176624221022,6.78597158870066,0.24116960215861905,5
Aniak,Q1,6.616682911148636,5.95230183433298,3.817839682578936,2.3272917691329402,11.9115038344301,0.5770020618860472,5
Aniak,Q2,6.749508721565196,7.121619795175679,1.0928254607089234,5.568794397321089,8.12182471212758,0.1619118525200601,5
Aniak,Q3,8.033299828804052,8.20470531940107,1.600331162944709,5.7278706435708395,10.1166953915952,0.19921217893630597,5
Aniak,Q4,13.563225572595867,11.5766165240807,7.69276700288351,6.85417318504693,26.7963303477323,0.5671782837871944,5
Holokuk,Q1,1.0831523240525525,0.6997377148944981,0.8037225905246254,0.394200525412708,2.38111691626348,0.7420217569376976,5
Holokuk,Q2,1.07378416293929,1.2071743974307,0.3115515188573201,0.672509096831334,1.44130629330899,0.29014352195743337,5
Holokuk,Q3,1.2839685890534085,1.16265485722197,0.28470746851708556,0.980306976775782,1.68344480198264,0.22174021307404643,5
Holokuk,Q4,1.1695866970521027,1.43841612866027,0.4542790420897848,0.581706244275007,1.54832740130161,0.38840989148968375,5
Oskakawlik,Q1,1.1624432528730095,0.846161502657724,0.678481255174967,0.672591667555007,2.31909814392617,0.5836682810090579,5
Oskakawlik,Q2,1.1985952802895607,1.2375604667783802,0.19282510124667615,0.864545095265294,1.34843972242905,0.1608759056685863,5
Oskakawlik,Q3,1.509008787614218,1.4202230330690802,0.19556168129044404,1.28869231324076,1.76722372778431,0.12959611825696002,5
Oskakawlik,Q4,1.4174405241277594,1.57853031628496,0.36333688775185935,0.8805329157246571,1.80549215770755,0.25633307469845584,5
George,Q1,1.5816091925510796,1.40038005474157,1.0281821457475255,0.736412747338388,3.34810889444032,0.6500860962303237,5
George,Q2,2.6716564338346798,2.34019750396612,0.6799887146617016,2.06527300178454,3.43177902762513,0.2545195205678826,5
George,Q3,3.459382979882072,3.23194999069134,0.6136058076326827,2.89888038469689,4.5019404996214,0.17737435005059776,5
George,Q4,2.84249093104108,2.83167858251376,1.7779005385083162,0,4.7356917589896,0.6254727215108999,5
Middle Kusko Main,Q1,6.820904349809882,6.14593237638376,1.7254283080461352,5.43709894888947,9.62993034363232,0.2529618096893893,5
Middle Kusko Main,Q2,7.03881879740819,7.124961126420611,1.0088327533518688,5.978743866399229,8.57365428789712,0.14332415457595496,5
